| question                                                        | answer                                                                                                                                              | category      | role    |
| --------------------------------------------------------------- | --------------------------------------------------------------------------------------------------------------------------------------------------- | ------------- | ------- |
| How can I register for a new course on CampusLearn?             | Navigate to your Dashboard → “Courses” → click “Enroll” under the desired module. Confirm your enrollment and check for tutor approval if required. | Student Help  | Student |
| How do I book a tutoring session?                               | Go to “Tutors,” select the subject, pick an available slot, and click “Book.” A confirmation message will appear on your dashboard.                 | Student Help  | Student |
| How do I join or leave a study group?                           | Open the “Groups” tab, choose the group you want to join or leave, and click the appropriate button. You can rejoin later if space is available.    | Student Help  | Student |
| Where can I find uploaded notes or learning resources?          | Visit “Resources” under each subject’s page. Tutors regularly upload lecture notes, code examples, and practice materials.                          | Student Help  | Student |
| How do I submit my assignment?                                  | Open the course → click “Assignments” → select your file → click “Submit.” Wait for the upload success message.                                     | Student Help  | Student |
| How can I check my grades?                                      | Go to your profile → click “Grades.” You can filter by course or date.                                                                              | Student Help  | Student |
| What should I do if my tutor cancels a session?                 | You’ll receive a notification. Use “Rebook Session” under the same subject to choose a new date.                                                    | Student Help  | Student |
| How can I report a technical issue?                             | Go to “Support” → “Technical Issues.” Provide a short description; CampusLearn will notify the IT support team.                                     | Student Help  | Student |
| How do I reset my password?                                     | On the login screen, click “Forgot password?” → enter your student email → follow the reset link.                                                   | Platform Help | Student |
| Can I message my tutor directly?                                | Yes, click on the tutor’s profile → “Message Tutor.” Keep communication academic and professional.                                                  | Student Help  | Student |
| How can I change my notification settings?                      | Go to “Settings” → “Notifications.” Toggle which alerts you want for emails, grades, and sessions.                                                  | Platform Help | Student |
| How do I request a new subject to be added?                     | Use the “Feedback” form in your Dashboard → choose category “New Subject Request.”                                                                  | Student Help  | Student |
| How can I become a tutor?                                       | Apply under “Tutor Applications.” You’ll need to be in good academic standing and complete a short interview.                                       | Student Help  | Student |
| How can I delete my CampusLearn account?                        | Only administrators can delete accounts. Contact the Admin via “Support → Account Requests.”                                                        | Platform Help | Student |
| How can I manage my tutoring schedule?                          | Go to “My Sessions.” You can edit availability, cancel, or reschedule.                                                                              | Tutor Help    | Tutor   |
| How do I upload notes or materials for students?                | From your tutor dashboard, select a subject → “Upload Resources.” Choose file and click “Publish.”                                                  | Tutor Help    | Tutor   |
| How can I mark student attendance?                              | In the “Session Details” page, use the attendance toggle for each student after the session ends.                                                   | Tutor Help    | Tutor   |
| How can I view my tutoring feedback?                            | Open your profile → “Feedback & Ratings.” You’ll see summarized comments and scores from recent sessions.                                           | Tutor Help    | Tutor   |
| What should I do if a student is consistently absent?           | Report through “Session Issues” → select the student → choose “Repeated Absence.” Admins will follow up.                                            | Tutor Help    | Tutor   |
| How do I report misconduct or inappropriate behavior?           | Click “Report” on the chat or profile. Provide short details; Admins will handle it confidentially.                                                 | Tutor Help    | Tutor   |
| How can I update my available subjects?                         | Go to your tutor profile → “Subjects” → tick or untick available options. Save changes.                                                             | Tutor Help    | Tutor   |
| How do admins approve new tutors?                               | Go to “Admin Dashboard” → “Tutor Applications.” Review credentials and click “Approve” or “Reject.”                                                 | Admin Tool    | Admin   |
| How do admins manage course enrollment?                         | Open “Courses Management.” You can manually add or remove students if required.                                                                     | Admin Tool    | Admin   |
| How do admins generate performance reports?                     | From “Analytics” → choose report type (Attendance, Feedback, Usage) → export as CSV or PDF.                                                         | Admin Tool    | Admin   |
| How can admins manage platform announcements?                   | Click “Announcements” → “Create New.” Write the update and choose audience (All, Tutors, Students).                                                 | Admin Tool    | Admin   |
| How do admins handle support tickets?                           | Go to “Support Panel.” Sort by priority, assign to staff, and update ticket status once resolved.                                                   | Admin Tool    | Admin   |
| How do admins reset passwords for users?                        | In “User Management,” search the user → click “Reset Password.” A reset email will be sent automatically.                                           | Admin Tool    | Admin   |
| What if a student shares personal data in chat?                 | Remind them that CampusLearn chats are for academic use only. Report sensitive messages to Admin.                                                   | Safety        | Tutor   |
| Can the AI assistant give grades or mark assignments?           | No. The AI offers guidance only. Official grading is handled by lecturers and verified through campus systems.                                      | Safety        | All     |
| What if someone asks for another student’s information?         | Politely decline and explain that personal data cannot be shared under privacy rules.                                                               | Safety        | All     |
| Can I share my ID number or password with a tutor?              | No. Never share personal credentials or sensitive information on CampusLearn.                                                                       | Safety        | Student |
| What happens if a user asks for help cheating on an assignment? | Decline politely and remind them that academic integrity violations are not supported.                                                              | Safety        | All     |
| What if the AI is asked inappropriate or offensive questions?   | It should decline respectfully, explain the platform’s code of conduct, and refocus on academic topics.                                             | Safety        | All     |
| How should mental health emergencies be handled?                | Refer users immediately to Belgium Campus counselling or national hotlines. Do not attempt medical advice.                                          | Safety        | All     |
| How can I report harassment or discrimination?                  | Use “Report Misconduct” in the profile menu. Include screenshots if possible. Admins handle all reports confidentially.                             | Safety        | All     |
| What if someone uploads harmful or explicit material?           | Report it under “Content Violation.” Admins will remove it and take disciplinary action.                                                            | Safety        | All     |
| What if the AI gives outdated or incorrect info?                | Encourage users to double-check with official course material and report the issue for review.                                                      | Safety        | All     |
| How does CampusLearn protect student privacy?                   | All chats and uploads are encrypted, and no personal data is shared outside the system.                                                             | Safety        | All     |
| Can the AI diagnose health or psychological issues?             | No. It can only provide general study or stress management advice. For personal issues, contact a counsellor.                                       | Safety        | All     |
| How do I manage study time effectively?                         | Break study sessions into 45-minute blocks, take 10-minute breaks, and review topics daily.                                                         | Academic Tips | Student |
| How do I stay motivated during exams?                           | Set short goals, track progress, study in groups, and reward yourself for milestones.                                                               | Academic Tips | Student |
| What’s the best way to learn coding concepts?                   | Practice daily, read others’ code, and build small projects. Ask tutors for reviews.                                                                | Academic Tips | Student |
| How can I improve problem-solving in programming?               | Analyze the question, break it into smaller steps, write pseudocode, and test iteratively.                                                          | Academic Tips | Student |
| How do I manage large projects with a team?                     | Use version control (like Git), schedule regular check-ins, and divide tasks by expertise.                                                          | Academic Tips | Student |
| What should I do if I forget my password?                       | Click “Forgot Password?” on the login screen to reset it securely.                                                                                  | Platform Help | All     |
